Stock,Daily,Weekly,Monthly,Weekly-Immediate,Monthly-Immediate
LTIM.NS,no-signal,TF-short,no-signal,no-signal,no-signal
CANBK.NS,no-signal,no-signal,no-signal,no-signal,no-signal
GRASIM.NS,no-signal,no-signal,no-signal,no-signal,no-signal
TATACONSUM.NS,no-signal,no-signal,no-signal,no-signal,TF-short
DRREDDY.NS,TF-short,no-signal,no-signal,no-signal,no-signal
ZYDUSLIFE.NS,no-signal,no-signal,no-signal,no-signal,no-signal
ZOMATO.NS,no-signal,no-signal,no-signal,no-signal,no-signal
DMART.NS,no-signal,no-signal,no-signal,no-signal,no-signal
APOLLOHOSP.NS,no-signal,no-signal,no-signal,no-signal,no-signal
WIPRO.NS,no-signal,no-signal,no-signal,no-signal,no-signal
SRF.NS,no-signal,no-signal,no-signal,no-signal,no-signal
HEROMOTOCO.NS,no-signal,no-signal,no-signal,no-signal,no-signal
UPL.NS,no-signal,no-signal,no-signal,no-signal,no-signal
TORNTPHARM.NS,no-signal,no-signal,no-signal,no-signal,no-signal
ADANIGREEN.NS,no-signal,no-signal,no-signal,no-signal,no-signal
AWL.NS,TF-short,no-signal,no-signal,no-signal,TF-short
ADANIENSOL.NS,no-signal,no-signal,TF-short,no-signal,no-signal
ATGL.NS,no-signal,no-signal,no-signal,no-signal,TF-short
COLPAL.NS,no-signal,no-signal,no-signal,no-signal,no-signal
BAJAJHLDNG.NS,no-signal,no-signal,no-signal,TF-short,TF-short
